SchoolYear,DistrictNCES,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate
2020-2021,0103450,899969,Walker County Board of Education,Public,Jasper,AL,8539,08/27/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,12/30/2020
2020-2021,0100600,899858,Chambers County School District,Public,Lafayette,AL,4454,08/12/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/29/2020
2020-2021,0101980,899859,Lanett City School District,Public,Lanett,AL,900,08/24/2020,Online Only,Unknown,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/28/2020
2020-2021,0100011,26487084,Leeds City Schools,Public,Leeds,AL,1779,08/28/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,09/16/2020
2020-2021,0102130,899885,Linden City School District,Public,Linden,AL,499,09/03/2020,Hybrid,Unknown,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/27/2020
2020-2021,0102250,899884,Marengo County School District,Public,Linden,AL,1062,08/17/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/16/2020
2020-2021,0103090,899968,Sumter County School District,Public,Livingston,AL,1823,08/21/2020,Online Only,No,Yes,Yes,Yes,Required for all staff,Unknown,No,Yes,Never closed,Yes,01/21/2021
2020-2021,0100199,107522005,University Charter School District Ofc,Public,Livingston,AL,390,08/19/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/15/2020
2020-2021,0100960,899907,Crenshaw County School District,Public,Luverne,AL,2225,08/24/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,01/12/2021
2020-2021,0100008,4367188,Madison City School District,Public,Madison,AL,11012,12/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/11/2021
2020-2021,0102670,899886,Perry County School District,Public,Marion,AL,1368,08/24/2020,Online Only,No,No,No,Yes,Required for all staff,Unknown,No,No,Never closed,Yes,10/20/2020
2020-2021,0102350,899962,Midfield City School District,Public,Midfield,AL,1160,08/25/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,0100197,107521977,Acceleration Day and Evening Acdmy Dist,Public,Mobile,AL,285,08/24/2020,Hybrid,No,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/08/2020
2020-2021,0102370,899878,Mobile County Public School System,Public,Mobile,AL,59099,09/28/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/14/2021
2020-2021,0102400,899874,Monroe County Public Schools,Public,Monroeville,AL,3983,08/17/2020,Hybrid,Yes,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Closed 1-5 days,Yes,01/21/2021
2020-2021,,2445546,Gulf States Conference of SDA Dept of Ed,Private,Montgomery,AL,,08/20/2020,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,11/11/2020
2020-2021,0102430,899915,Montgomery Public Schools,Public,Montgomery,AL,31934,10/13/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Unknown,Yes,Unknown,Unknown,Yes,01/06/2021
2020-2021,,107836884,Sequel Tsi Montgomery LLC,Public,Montgomery,AL,,08/04/2020,On Premises,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,01/22/2021
2020-2021,0102040,899950,Lawrence County Board of Education,Public,Moulton,AL,5460,12/08/2020,Other,Yes,Unknown,Pending,Pending,Required for all staff,Pending,Pending,Pending,Pending,Yes,10/02/2020
2020-2021,0100002,107518151,Alabama Youth Services School Dist 210,Public,Mount Meigs,AL,308,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0102490,899958,Mountain Brook Schools,Public,Mountain Brk,AL,4434,08/20/2020,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,Yes,01/15/2021
2020-2021,0102520,899954,Muscle Shoals City School District,Public,Muscle Shoals,AL,3377,08/20/2020,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,0100038,107518405,Pathway Inc,Public,New Brockton,AL,100,09/08/2020,Online Only,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,11/19/2020
2020-2021,0100420,899980,Blount County School District,Public,Oneonta,AL,9223,08/18/2020,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,01/18/2021
2020-2021,0102550,899981,Oneonta City School District,Public,Oneonta,AL,1479,08/18/2020,Hybrid,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,01/08/2021
2020-2021,0102070,899854,Lee County School District,Public,Opelika,AL,10038,08/17/2020,Online Only,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/14/2020
2020-2021,0100036,107518356,Lee County Youth Development Ctr Dist of,Public,Opelika,AL,,08/10/2020,Hybrid,No,No,No,No,Pending,Pending,Pending,Pending,Pending,Pending,10/12/2020
2020-2021,0102580,899855,Opelika City Schools,Public,Opelika,AL,4420,08/12/2020,Hybrid,Unknown,No,Unknown,No,Pending,Pending,Pending,Pending,Pending,Pending,08/07/2020
2020-2021,0102610,899875,Opp City School District,Public,Opp,AL,1319,08/18/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,0102635,899918,Oxford City School District,Public,Oxford,AL,4111,08/19/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,12/28/2020
2020-2021,0101050,899901,Dale County School District,Public,Ozark,AL,3205,08/14/2020,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/14/2020
2020-2021,0102640,899900,Ozark City Schools,Public,Ozark,AL,2749,09/08/2020,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,11/17/2020
2020-2021,0100194,91099779,Pelham City Schools,Public,Pelham,AL,3167,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0102650,899982,Pell City School System,Public,Pell City,AL,4019,08/21/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/07/2020
2020-2021,0102700,899861,Phenix City Public Schools,Public,Phenix City,AL,7225,08/17/2020,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/29/2020
2020-2021,0102880,899860,Russell County School District,Public,Phenix City,AL,3580,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0102760,899888,Piedmont City School District,Public,Piedmont,AL,1285,08/19/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/14/2020
2020-2021,0100195,97211058,Pike Road Schools,Public,Pike Road,AL,2095,08/20/2020,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/12/2021
2020-2021,0100240,899908,Autauga County Board of Education,Public,Prattville,AL,11221,09/08/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/14/2020
2020-2021,0101140,899932,DeKalb County School System,Public,Rainsville,AL,9483,08/10/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/09/2020
2020-2021,0102850,899889,Roanoke City School District,Public,Roanoke,AL,1503,08/24/2020,Online Only,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/17/2020
2020-2021,0100900,899983,Coosa County School District,Public,Rockford,AL,1100,08/31/2020,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,No,09/29/2020
2020-2021,0101590,899951,Franklin County School District,Public,Russellville,AL,3925,08/20/2020,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 6-14 days,Yes,10/07/2020
2020-2021,0102910,899952,Russellville City School District,Public,Russellville,AL,2546,08/19/2020,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,10/01/2020
2020-2021,0100185,69692191,Saraland City Schools,Public,Saraland,AL,3098,08/06/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,10/19/2020
2020-2021,0100189,91442715,Satsuma School System,Public,Satsuma,AL,1435,08/12/2020,Hybrid,No,No,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,No,12/30/2020
2020-2021,0101830,899923,Jackson County School District,Public,Scottsboro,AL,6030,08/07/2020,Hybrid,Yes,Unknown,Yes,Yes,Pending,Not required,Unknown,Yes,Never closed,Yes,09/15/2020
2020-2021,0102940,899924,Scottsboro City Schools,Public,Scottsboro,AL,2334,08/24/2020,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/15/2020
2020-2021,0101110,899879,Dallas County School District,Public,Selma,AL,3743,09/09/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,10/19/2020
2020-2021,0102970,899880,Selma City School District,Public,Selma,AL,3463,08/24/2020,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/28/2020
2020-2021,0103000,899953,Sheffield City School District,Public,Sheffield,AL,1155,08/17/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/06/2021
2020-2021,0103120,899984,Sylacauga City School District,Public,Sylacauga,AL,2367,08/27/2020,Hybrid,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/04/2020
2020-2021,0100009,107518193,Alabama Institute For Deaf and Blind,Public,Talladega,AL,396,09/08/2020,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,12/30/2020
2020-2021,0103150,899985,Talladega City School District,Public,Talladega,AL,3214,08/19/2020,Online Only,No,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,08/21/2020
2020-2021,0103180,899986,Talladega County School District,Public,Talladega,AL,8341,08/20/2020,Hybrid,Yes,Unknown,Yes,Yes,Unknown,Required for all students,Yes,Unknown,Never closed,Yes,10/29/2020
2020-2021,0103240,899909,Tallassee City School District,Public,Tallassee,AL,1745,09/08/2020,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/06/2020
2020-2021,0103300,899887,Thomasville City Schools,Public,Thomasville,AL,1221,08/17/2020,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10/14/2020
2020-2021,0102790,899911,Pike County Schools,Public,Troy,AL,2542,08/24/2020,On Premises,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/05/2020
2020-2021,0103330,899910,Troy City School District,Public,Troy,AL,2247,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,09/25/2020
2020-2021,0100013,41202693,Trussville City Schools,Public,Trussville,AL,5730,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0100021,107518272,Brewer-Porch Childrens Center Dist Ofc,Public,Tuscaloosa,AL,40,08/21/2020,On Premises,No,No,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Yes,11/30/2020
2020-2021,0103360,899965,Tuscaloosa City School District,Public,Tuscaloosa,AL,10032,08/20/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,10/28/2020
2020-2021,0103390,899964,Tuscaloosa County School System,Public,Tuscaloosa,AL,18383,08/20/2020,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,12/22/2020
2020-2021,0100840,899922,Colbert County Schools,Public,Tuscumbia,AL,2935,09/08/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/25/2021
2020-2021,0103420,899955,Tuscumbia City School District,Public,Tuscumbia,AL,1968,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0102190,899912,Macon County Public Schools,Public,Tuskegee,AL,2534,08/17/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/23/2020
2020-2021,0100024,107836871,Sequel Tsi Tuskegee LLC,Public,Tuskegee,AL,41,08/28/2020,On Premises,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/01/2020
2020-2021,0100480,899913,Bullock County Schools,Public,Union Springs,AL,1938,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
2020-2021,0101950,899941,Lamar County School District,Public,Vernon,AL,2675,08/24/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/13/2021
2020-2021,0103430,899959,Vestavia Hills City School District,Public,Vestavia Hills,AL,6935,08/20/2020,Other,Yes,Unknown,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Yes,01/11/2021
2020-2021,0102820,899890,Randolph County School System,Public,Wedowee,AL,2902,08/27/2020,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,11/13/2020
2020-2021,0101290,899914,Elmore County Public Schools,Public,Wetumpka,AL,11793,10/08/2020,Online Only,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Yes,12/14/2020
2020-2021,0103540,899942,Winfield City School District,Public,Winfield,AL,1269,08/28/2020,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/07/2021
2020-2021,0502250,892781,Alma School District 30,Public,Alma,AR,3260,08/24/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,01/14/2021
2020-2021,0502280,892841,Alpena School District 5,Public,Alpena,AR,494,08/24/2020,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,10/29/2020
2020-2021,0506690,893001,Centerpoint School District,Public,Amity,AR,973,08/24/2020,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/08/2020
2020-2021,0502430,893002,Arkadelphia Public Schools,Public,Arkadelphia,AR,1985,08/24/2020,Hybrid,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Closed indefinitely,Yes,10/06/2020
2020-2021,0502580,893040,Ashdown School District 31,Public,Ashdown,AR,1400,08/24/2020,On Premises,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/20/2020
2020-2021,0502610,892794,Atkins Public Schools,Public,Atkins,AR,1023,10/14/2020,Online Only,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,10/14/2020
2020-2021,0502670,892990,Augusta School District,Public,Augusta,AR,361,08/24/2020,Hybrid,Yes,Yes,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/14/2020
2020-2021,0502700,892992,Bald Knob School District,Public,Bald Knob,AR,1385,08/31/2020,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Unknown,Yes,10/15/2020
2020-2021,0500019,892850,Batesville School District,Public,Batesville,AR,2913,08/24/2020,Online Only,Unknown,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,11/06/2020
2020-2021,0502790,892994,Bauxite School District 14,Public,Bauxite,AR,1901,08/24/2020,Hybrid,Yes,Unknown,Yes,No,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,01/11/2021
2020-2021,0502820,892887,Bay School District,Public,Bay,AR,597,08/24/2020,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,10/29/2020
2020-2021,0500032,893045,Bearden School District 53,Public,Bearden,AR,551,08/24/2020,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/01/2020
2020-2021,0512570,892966,South Side Bee Branch School District,Public,BEE Branch,AR,740,08/24/2020,Online Only,Unknown,No,Yes,Unknown,Required for all staff,Required for all students,Yes,Unknown,Closed indefinitely,No,12/18/2020
2020-2021,0502880,892965,Beebe Public Schools,Public,Beebe,AR,3910,08/24/2020,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,12/22/2020
2020-2021,0502960,892969,Benton School District 8,Public,Benton,AR,5449,08/24/2020,Hybrid,Yes,Yes,Unknown,Pending,Required for all staff,Required for all students,Yes,Unknown,Closed 6-14 days,Yes,11/05/2020
2020-2021,0507320,892967,Harmony Grove School District,Public,Benton,AR,1292,08/24/2020,Hybrid,Yes,No,Yes,No,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Closed indefinitely,Yes,10/16/2020
2020-2021,0500417,107655286,Arkansas Connections Academy,Public,Bentonville,AR,780,08/24/2020,Online Only,Unknown,Unknown,Yes,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,09/29/2020
